drug,ndc
OxyCODONE,00406055262
bupivacaine,00409115901
Morph,00054023755
dival,68084031301
Aranesp (polysorbate),55513002504
Mirtazapine,00052010630
Viagra,00069420030
Entresto,00078069635
Methad,00406052710
PHENYLEPHrine,76014000410
Telmisartan,00597003928
Rabies Immune Globulin,13533061803
Enoxaparin Sodium,00075062160
Mirtazapine,00052010730
Bupivacaine 0.025%,0
rivas,47781030403
HYDROmorphone (Dilaudid),59011045401
Emtricitabine Oral Solution,61958060201
Lindane Shampoo,60432083460
Hydrocortisone Acetate 10%  Foam,00037683015
Mupirocin Nasal Ointment 2%,00029152611
MethylPREDNISolone Sodium Succ,00009019016
Fluconazole,59762501601
methylnaltrexone,65649055102
Promethazine,00904646161
Tretinoin ,68084007521
Oxcarbazepine,00054009920
*NF* Nitazoxanide,67546011132
Lamotrig,00173064255
pregabalin,00071101441
Dronabinol,49884086902
Scopolamine Patch,10019055302
Ditropan XL,17314850101
cortroysn,0
Carbidopa-Levodopa CR (25-100),00056060128
Hydromorphone,00074241612
Lidocaine 1% (For PICC/Midline Insertions),00409490334
Canasa,58914050156
Piperacillin-Tazobactam,00206885516
buprop,51079094320
NS,00338004501
Losartan Potassium,68084034601
Parnate,00007447120
PrismaSol  (B32 K0),0
Robinul,00603318021
INV-Romidepsin,59572096210
LeVETiracetam Solution,50474059440
Repaglinide,00169008481
Hydrocodone-Acetaminophen (5mg-325mg),63739032610
Fondaparinux Sodium,00007323001
Citalopram,00054006258
*NF* Budesonide,00186070210
Cromolyn Sodium,00009770901
Neomycin-Polymyxin-HC,24208063562
cevimeline,00054033425
Meropenem Graded Challenge,63323050830
Ofloxacin,24208043405
Clofazimine,51927371900
LACOSamide - STAT Dose,00131181067
Nystatin Oral Suspension,66689000802
TraMADOL (Ultram),00406717162
OxycoDONE ,66591091332
Gentamicin 0.3% Ophth. Soln,24208058060
Provigil,63459010130
Indapamide,51079086820
laBETalol,00185001001
Fish Oil,10939033733
Fentanyl Patch,00781711355
Suboxone,00054018913
Fondaparinux,60505607800
Pramipexole,00597018590
hyosc,00091353701
Mineral,11917007645
Hydroxocobalamin,11704037001
Daptomycin Desensitization,67919001101
Albumin 5% ,68516521402
Anastrozole,16571042103
mitoMYcin,16729010811
anastrozole (bulk),51079032301
Insulin,00088250033
Ace,00121065721
dilti,00258369090
PARoxetine HCl,68084004411
anastrozole,51079032301
Furos,00409610204
Dextrose 20% in Water (D20W),00338003003
Acetami,00182844789
potassium,66758016013
dabigatran etexilate (Pradaxa),00597010760
PHENObarbital鈥揑CU Alcohol Withdrawal Dose Taper鈥?PO) (FOR CLINICIAN USE),63739020110
Gilteritinib,0
Furosemide in 0.9% Sodium Chloride,00409610204
estradiol,00430375414
Posaconazole Delayed Release Tablet,00085132801
Mannitol 20%,00409771503
Heparin Flush (1000 units/mL),25021040010
LORazepam,68084008901
QUEtiapine Fumarate,00904627861
AcetaZOLamide,51672402301
multi,50383068304
Miconazole Nitrate (Combo Pack),00062543001
FLUoxetine,50268033415
Isoniazid,51079008320
telaprevir,51167010001
Carbidopa-Levodopa,18860034201
Revatio (sildenafil),24208039407
NIFEdipine,67767015101
Propranol,00378622001
Olanzapine,00002411533
Pantoprazole,66993006885
isosorb,00228262011
lefl,60505250201
lantus,00088222033
dalteparin (porcine),00069019601
Sulfameth/Trimethoprim DS,65862049647
Amaryl,00039022211
ganciclovir 500 mg caps,0
Amoxicillin-Clavulanic Acid,00093227534
Cytarabine,55390013401
Provera,00009006406
Levothyroxine Sodium,00074929690
Paroxetine,00029320713
Insulin Lispro,00002751001
QuiNIDine Gluconate,00002140701
Rizatriptan,00006026706
Levothyroxine Sodium,42292003920
Fluvoxamine Maleate,62559015901
cilostazol,60505252201
Vivelle,00078036545
Imipenem-Cilastatin,63323032225
asp,00574703412
sodium chlo,00378699789
Lidocaine 1%/,00409317803
Estradiol,00078036545
cilo,51079042420
Methylergonovine Maleate,00517074020
Isosorbide Dinitrate,00143176901
Hydrochloric Acid,49452355001
Atorvastatin 40 mg,68084058901
Calcium Carbonate (Tums),66553000401
atropine,24208075006
Atenolol,00591577710
Fosfomycin Tromethamine,00456430008
Syringe (subQ),08290309653
Evoxac,63395020113
Vitamin D,47781064726
MetFORMIN (Glucophage),00172433110
Isosorbide Mononitra,58177023811
Nystatin,00121481040
Sterile Water,0
Venlafaxine XR,00904646961
flurazepam,00143336701
CONCERTA,17314585102
Chlorambucil,76388063550
Apidra SoloStar,00088250033
Cyclophosphamide,00054038325
Insulin Regular Human (U-500) (for Insulin PUMP),0
Code,00054815624
Miconazole Powder 2%,00145150605
Abilify,65162089703
Calcitriol,00054312041
rOPINIRole,00054011625
Anti-Inhibit Coag Comp (FEIBA),64193042402
cilo,66993000860
Potassium Chloride,00338070948
Travasol 4.25% W/ Dextrose 5%,00338085104
Pyridoxine,00182008601
NovoLIN R,00169183311
clora,50111098601
keppra,68084033701
AMOXicillin Oral Susp.,00093310793
Nystatin-Triamcinolone Cream,51672126302
lanoxin,00173024256
Bumetanide,00641600710
gabapentin,00904563261
Loxapine Succinate,51079090220
metolazone,51079002420
Gabapentin,68084078301
Etomidate,55390076210
Risperidone Long Acting Injection,50458030811
Heparin (Hemodialysis),63323054011
Silvadene,54569204000
Miconazole,59390006717
Diltiazem Extended-Release,68682036990
Phosphorus,64980010401
Lidocaine 2% P.f.,00409427601
methylphenidate,50458058601
Zeasorb (miconazole),11017025030
Levothyroxine,00074434190
Aspirin ,00904404073
torsemide,00004026449
maprotiline,00378006001
Levothyroxine Sodium,51079044220
Hydrocortisone Cream 2.5%,00472033730
Pantoprazole (Granules for DR Suspension),00008084402
Lidocaine 2%/Epi 1:100\,000,63323048327
PHENYLEPHrine,61553030772
Tobramycin Fortified Ophth. Soln.,00065064305
tuck,00071307513
INV-Dalteparin,00069020601
Chlorpheniramine Maleate,00904001261
Amiodarone,00245014701
Lithium Carbonat,00054002125
Hydrocortisone Oint 1%,23317033128
diltiaz,00258368890
Sertraline,68180035109
Docusate Sod,00904224461
trile,00078045635
Ondans,62756035664
OSELTAMivir,00004082009
glycerin (adult),00713010113
Albuterol 0.,50383074120
Verapa,00172428010
Alendronate Sodium,00093514001
Multivit,00005434462
Carbi,18860034201
Tegretol,00904617261
GammaGARD Liquid,00944270005
Glatopa,68546031730
BuPROPion ,00591083960
Sulindac,00591566101
codeine-guaifenesin,00121177505
Plasma-Lyte A (pH 7.4),00338022104
Ropinirole HCl,00093528401
Budesonide 0.5mg,54569592800
Aztreonam,51479004115
carbidopa-levodopa,51079088420
interferon beta-1a,59627000103
Desipramine,00781197201
Tenofovir,61958040301
Dexamethasone Sod Phosphate,63323016505
Prednisone,00054001920
SEROquel,00310027539
Guaifenesin ER,63824000840
Risperidone,60505258700
COQ10 200 mg capsule,10939003722
Vitamin D3,10432017002
Enoxaparin Sodium,00703854023
Epoetin Alfa,59676030201
mag,00121176130
Labetalol,00182820289
neph,00187526802
modafin,51079056103
dilt,00258368790
Aldesleukin,00078049561
Dalteparin,00069021701
Tolnaftate,00168000815
iodoquinol-HC,58177080302
Bromocriptine Mesylate,60687028621
Pilocarpine 4%,24208068615
Fenofibrate,68084063521
cellcept,00004025901
Dex,00054818125
Temazepam,51079041820
Danazol,54868021500
nimodipine 60mg,57664013565
Lidocaine 2%/Epi 1:100\,000,00409318201
Ampicillin,25021013720
Polio Vaccine,49281086010
Ciprofloxacin IV,36000000824
Clopidogrel ,51079055720
Desipramine,00781197501
Ferrous GLUCONATE,00904213761
Insulin Human NPH,00002831501
Nasonex,00009770901
Chloral Hydrate,00121053205
Verapamil,51079068320
Epineph,49502050001
Lidocaine 1%,00409317802
Meropenem Desensitization,00310032165
LaMIVudine-Zidovudine (Combivir),00093538506
Fentanyl Citrate,10019003867
tretinoin,00062017512
GenTeal Tears Severe Gel,17478028435
Clopidogrel 75mg,63653117103
Diazepam - CIWA protocol,68094075062
Nitroglycerin SL,00071041813
valproic acid (as sodium salt),00074568113
Penicillamine,00037440101
Tiotropium Bromide,00597007541
isosorbide dinitrate,00781155613
Sinemet CR,51079075620
Fentanyl Patch,00591319872
PACLItaxel (TaxOL),00703476801
Verap,51079089920
Lidocaine 1% P.F.,00409427001
cariprazine,61874016030
Risperidone,50458030201
Sodium Acetate,00517209625
Januvia,00006027731
fentaNYL citrate (PF),10019003867
Fluva,00078017605
Prazosin,00378110101
Emtricitabine-Tenofovir alafen (200mg-25mg),61958200201
Droperidol,11098001001
Linezolid,60505436203
Naloxone,76329336901
Polymyxin B Sulfate,55390013910
EpiPen,49502010202
Minoxidil,00591564301
Estrace,00430375414
Thiamine HCl,00182004701
anas,51079032301
Syringe (Inhalation),0
Neomycin-Polymyxin-Dexameth Ophth. Oint,24208079535
Carafate,51079087101
Florastor,60505082901
demeclocycline,00115211101
Atacand,00186000431
hydromorph,00074233411
CycloSERINE,13845120202
panc,39822020501
Ganciclovir 0.15% Ophth Gel,24208053535
lansoprazole,00300154111
Zinc Oxide,74300000068
Timolol Maleate 0.5%,17478028810
Triamcinolone Acetonide Inj,00003029320
Polymyxin B -Trimethoprim Ophth Soln,60758090810
ezetimibe,66582041428
Pyridostigmine Bromide,00904662261
dornase alfa,50242010040
calcitonin,60505082306
Ibrutinib,57962014009
CloniDINE,66479052101
Alternagel-Benadryl-Lidocaine Visc.,00054350547
Propranolol LA,43478090088
Gentamicin 2.5 mg/mL in Sodium Citrate 4%,00409120703
Testosterone Propionate,00051842530
Fluticasone-Salmeterol Diskus (500/50) ,00173069704
COQ10 (300mg),14654084868
Onglyza,67386031001
Hydralazine,49884002901
Trileptal,00078045635
sevelamer HYDROCHLORIDE,58468002001
Vimpat,00131181067
Bacitracin/Polymyxin B Sulfate Opht. Oint,24208055555
Multivitami,16500008806
Cyanide Antidote,11098050701
Aspirin 81mg ,00904404073
SulfADIAzine,00185075701
Aspirin 81mg or placbo,00904404073
Nicotine Patch,37205036374
CefePIME,25021012120
CycloSPORINE (Neoral) MODIFIED,00078024615
Tivicay,49702022813
traZODONE,60505265400
Gabapentin,60505011200
Imuran,00054408425
INV-PrednisoLONE Acetate 1% Ophth. Susp.,11980018005
Oxytocin,61553074004
Ranitidine ,68094020462
Bactroban Nasal,00029152611
Megestrol Acetate,51079043520
Lactic Acid 12% Lotion,00245002322
Theophylline ER,68462038001
Vitamin B-1,00182004701
QUEtiapine Fumarate,63739066510
Fluocinolone Acetonide 0.01% Cream,52565003115
Tretinoin 0.05% Cream,00574220520
Oritavancin *NF*,65293001503
Tretinoin (ATRA\, All-Transretinoic Acid),00904686704
Divalproex Sodium,00074712611
HumIRA,00074379902
Erythromycin 0.5% Ophth Oint,24208091019
asacol,00430075327
Sorafenib,00026848858
Methylprednisolone,55390020910
PredniSONE,60687014501
Doxycycline,00677059802
carbidopa-levodopa,51079092320
Isosorbide ,00143176901
Flucytosine,43386077101
miralax,11523726808
Benadryl Allergy,00121048910
Bengay,74300000533
LaMICtal,00173075600
COQ10 300 mgs,14654084868
Heparin Flush Hickman (100 units/ml),64253033335
*NF* Iron Sucrose,00517234010
Clobetasol Propionate 0.05% Gel,59366279103
CefOTAXime,64679098601
Trihexyphenidyl HCl,54868234003
LORazepam,69315090501
Travatan (Travoprost 0.004%),00065026625
Potassium Chloride,00245004101
Azithromycin,63323039810
colestipol,00009045003
CoQ10 200 mg caps,10939003722
Carvedilol,00904630261
bicalutamide,00093022001
Topiramate (Topamax),00093015506
Sucr,00093221001
Vitamin E,00536480101
Mysoline,00904056060
diazepam,51079028620
Albuterol,51079065720
Prednisone,00054872425
Risperidone,50458060128
Witch Hazel 50% Pad,12547015040
valacyclovir,00173093356
Potassium Phosphate,00517235025
clonazepam,51079088120
famcic,00054019813
Loperamide,50580029304
pramipexole,00597018461
vortioxetine,64764072030
Celecoxib,00025152534
dextr,00409490234
Aspirin EC,00904404073
Propofol,63323026929
Mycophenolate Mofetil,64380072506
furosemide,00054329446
CoQ10 (300mg),14654084868
levonorgestrel-ethinyl estrad,00008253303
Propafenone (Immediate Release),53489055101
proGESTerone micronized,17478076610
Chlorothiazide,17478041940
Triamcinolone Acetonide Inj,70121116801
amphetamine-dextroamphetamine,00555078802
warfarin,00056017675
Balsalazide 750mg Cap,00054007928
Phenytoin,51079090520
lactulose,50383077933
loper,51079069020
Hydroxyzine HCl,68115017430
Sodium Chloride ,0
Finasteride,68084039901
Cisatracurium Besylate,00703205603
Sulfa,00472128416
Magnesium Sulfate Replacement (Critical Care and Oncology),00409672924
Ciprofloxacin ,68084006901
Niacin SR,00536407401
Pant,00008084402
Dexamethasone Intensol,00054317644
OxycoD,00527142636
Ketorolac 0.5% Ophth Soln,61314012605
DiphenhydrAMINE,00904517416
Ondans,00904655161
Selegiline HCl,60505343803
ValGANCIclovir,00004003822
Amphetamine-Dextroamphetamine XR,66993059402
QUEtiapine extended-release,68180061507
Omeprazole Magnesium,58016032730
OLANZapine (Disintegrating Tablet),60505311000
glimepiride,00093725401
Busulfan,25021024110
Pulmozyme,50242010039
LeVETiracetam,50474059540
Calcium Carbonate,00054811616
MethylPRED,00009004722
metHOTREXate sodium,51079067005
praziquantel,00085174701
Tretinoin,00062017512
elvitegr-cobicist-emtric-tenof,61958120101
Asp,00574703412
Lithium Carbonate ,00054352763
cycloSPORINE,00078024815
Dexameth,63323016501
Etomidate,00069000601
Docusate Sodium,50383077111
Ascorbic Acid,00536016097
pancre,39822020501
Pravastatin,00093077198
ATG (Horse),00009722402
Autologous 20% Serum Tears,63861102501
insulin degludec,00169255013
Dronabinol,00051002121
Niferex,10267146501
Mebaral,67386080202
Simethicone,00536222075
Tropicamide 0.5%,00998035415
*NF* Deferasirox,00078047015
Nia,00904062960
Ziprasidone Hydrochloride,00049397041
prednisone,00054001720
Amphetamine-Dextroamphetamine,54092038101
insulin aspart U-100,00169750111
Lithium Carbonat,54868255700
Fluorouracil,63323011720
zonisamide,68084018301
carbam,51672412401
Selenium Sulfide,49999074704
*NF* Famciclovir,00054019713
Telaprevir,51167010001
Vasopressin,63323030201
pramipexole,68462033390
FLUoxetine,00093435693
Ranitidine,24987036210
NORepinephrine,00409144304
Cosyntropin,67457022702
fam,00054019713
INV-Letermovir(Letermovir),0
Lidocai,00409427601
Miconazole Nitrate Vag Cream 2%,51672203506
Magnesium Oxide,00165005441
Lidocaine 1% (For PICC/Midline Insertions),55150015974
Fenofibrate,50268031112
Carvedilol,51079093120
Ondans,68462015713
Insulin Lispro Desensitization Protocol,00002751001
Kcentra*,63833038602
OSELTAMivir,47781047013
vilazodone,00456111030
CARVedilol,51079093120
Ciprofloxacin HCl,50419077701
NiCARdipine,00781320495
Lovastatin,51079097520
Requip,00007489220
sertraline,68084018101
Multivitamins,16500008806
NIFEdipine,00085172202
CefTAZidime Antibiotic Lock,10019069102
*NF* Polyethylene Glycol,62175044214
triazol,00054485906
Multivitamins W/minera,16500008806
Dolasetron Mesylate,00088120305
Fentanyl Citrate,17478003002
Octreotide ,55390016010
Fioricet,68084039665
cortosyn,0
Zonisamide,16590025230
Factor 8 recombinant,00053813302
OLANZapine (Disintegrating Tablet),50268061613
Isosorbide Mononitrate (Extended Release),58177023811
terbinafine,00078017905
MetroNIDAZOLE,29300022701
Envarsus XR,68992307503
Furosemide-Heart Failure,00517570225
pyrimethamine,52054033010
Propr,55887019190
Pamidronate,61703032418
INV-BL-8040,0
MetRONIDAZOLE (FLagyl),00338105548
Sulfameth/Trimethoprim DS,68084023001
MetroNIDAZOLE,42292000120
Divalproex (DELayed Release),57237004801
Amphetamine-Dextroamphetamine XR,00555078802
beclomethasone dipropionate,59310020480
Tolterodine,00093001806
Pepcid,51079096620
hydroco,00904016012
cil,51079042420
Lidocaine ,63323048527
Benazepril,00078044705
Alendronate,51079094205
Clonidine Patch 0.3 mg/24 hr,00378087399
OxycoDONE,00904644461
Ket,42023011410
miner,11917007645
Methylprednisolone ACETATE,00703003104
traZODONE,00904399061
Paroxetine,60505040205
EriBULin,62856038901
Morphine ,00054023755
sildenafil,00069421030
Klor-Con 10,00245004101
BuPROPion XL (Once Daily),50268014013
Hyoscyamine SO4 (Time Release),00091353701
Hydromorphone (Rectal),00574722406
Heparin,25021040201
Hydrocortisone,00603389919
Ciprodex,00065853302
Calcipotriene 0.005% Cream,66993087761
Ampicillin-Sulbactam,00049002428
Meperidine,00409118069
OxycoDONE Liquid,66689040150
NiCARdipine,00004018401
*NF* Ertapenem Sodium,00006384371
Lithium Carbonat,00054002025
pulmicort,00186198804
Propranolol,51079027920
Rabies Immune Globulin,13533061810
Flucytosine,68258912401
Glyburid,55289061401
Dipyridamole,51079006820
OXALIplatin,00703398601
carisoprodol,23490521205
Donnatal,66689006310
Silver Nitrate Applicator,12870000102
Metoclopramide,00093220401
lithium citrate,00054352763
celecoxib,00025152034
Montelukast,00904680861
MetroNIDAZOLE,68084096601
Simethicone,00904589430
OXALIplatin,25021023320
Calcium Gluconate,61553005148
Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),50242004413
Diltiazem Extended-Release,51079094708
RisperiDONE Long Acting Injection,50458030711
Lidocaine Jelly 2%,00548301200
VitaminD 3  ,11845011831
Metoclopramide,54868003404
Mycostatin,00003059320
bisoprolol fumarate,00185077130
Famotidine,51079096620
vitamin d,10432017002
Mesalamine Enema,00093688871
leflunomide,00093017456
Neomycin/Polymyxin/Dexameth Ophth Susp.,24208083060
Cepacol (Menthol),11509021217
Pentostatin,00409080101
Keppra,50474059540
ZOFRAN ODT,00781523864
Trametinib,00078066815
Gamunex/GammaKED,13533080020
zydis,00002445385
Fosamax,00006003121
Lexiva,49702020718
Tolvaptan,59148002150
LORazepam,51079038620
Morphine Sulfate (Immediate Release),00054023524
Toprol XL,68084066601
Nitroglycerin SL,59762330403
Aspiri,00904404073
predniSONE,00054372144
Metoprolol XL (Toprol XL),00186109039
fenofibrate nanocrystallized,00074612390
Methadone PCA,00054121842
alb,44206031050
simethicone,37205011910
clotrimazole,00904782231
Clarithromycin,00074318813
Carbidopa-Levodopa CR ,68084028101
Ethacrynic Acid,47781049701
Levalbuterol,63402051224
ARIPiprazole,00904650904
Elmiron,17314930001
Dantrolene Sodium,27505000165
octreotide\,microspheres,00078081181
Tacrolimus,51079081820
Brimonidine-Timolol,00023917705
nephr,68084006501
vitamin A,00904208560
Cilostaz,66993000860
urea,00884044904
Aricept,00904624261
Aspirin EC,66553000101
Hydrocortisone Enema,62559013807
nitroglycerin,00603478221
tacr,00781210301
OxyCODONE (Immediate Release),00406055262
Arimidex,00310020137
*NF* Moxifloxacin,00026858231
lidocaine-prilocaine,00168035755
Apixaban,00003089331
Vitamin E,00904027760
Sulfameth,50268072815
Ketorolac 0.5% Ophth Soln,60505100301
AveLOX,00085173302
LORazepam,00904600861
Lidocaine 1%,55150016330
Ketamine,00143950910
Minocycline,00591569401
Interferon Alfacon-1,66435020115
Ranitidine ,00904526161
Butorphanol Tartrate,00087565041
Buprenorphine-Naloxone Film ,12496120203
Metoclopramide,68084067601
MENINGOcoccal Conj Vaccine (Menactra\,Menveo),49281058958
Magnesium Sulfate Replacement (Critical Care and Oncology),63323010605
Basiliximab,00078033184
Emricasan,0
Acyclovir,00173099155
Ondansetron ODT,00781526664
Sucralfate Enema,00093221001
Diphenoxylate-Atropine,00054319446
Renacidin,00327001105
Ipratropium Bromide HFA,00597008717
Levoxyl,00074518211
Enox,00075062280
ALEMtuzumab (Campath),58468035701
Dabigatran Etexilate,00597014960
Fish,68094010961
Ativan,00904150061
Thiamine,0
Dexamethasone,00517490125
Nitrofurantoin,47781030701
Aspirin (Buffered),00067014568
Bupivacaine 0.25%,00409115902
Aspirin,00904201559
FLUoxetine,00172436310
Fluconazole,36000000206
Isos,00228263111
Amphotericin B Nebulized,39822105505
Vitamin D,00904582460
aminosalicylic acid,49938010704
Atovaquone-Proguanil (250mg-100mg),66993006027
Rhinocort Aqua,54569405900
Emtricitabine,61958060101
Morphine Sulfate,00641612525
Mannitol,00409403101
Lidocaine ,55150016402
Ampicillin,00781340795
Pyridoxine,77333094010
Azithromycin,60687028201
nifedi,00591319301
Tacrolimus Extended Release (Envarsus XR),68992301003
IMatinib,00078040134
Ganciclovir,63323031510
Opium Tincture,62559015304
Potassium Chloride,
Asacol HD 800mg,00430078327
ZZPimasertibZZ,0
SITagliptin 100mg,00006027731
Bacitracin,63323032931
Midazolam,10019002703
Neomycin Sulfate,51079001520
Risperidone,50458030503
Lidocaine,25021067376
Fiorinal,00591321901
hydromorph,61553020648
bisoprolol fumarate 10mg ,68084048721
Clindamycin 1% Solution,00472098792
Lidocaine 0.5%,63323048457
Scopolamine Base,10019055302
Ganciclovir,00004694003
Potassium Chloride,58177020211
Donepezil,00904640861
Ketamine Oral Solution,42023011410
Artificial Tears (polyvin alc),00536197072
Venetoclax,00074057611
Pangestym,39822904501
Lanso,00300304611
Nysta,00121478505
Sodium Chloride Nasal,00256015201
Fluconazole,49884094174
Morphine,00641607325
Propranolol LA,43478090288
Excedrin Tension Headache,19810000790
Hepar,63323054011
Sulfameth/Trimethoprim SS,00904272561
Mycophenolate Mofetil Suspension,00054016625
Levobunolol,24208050510
Ketorolac,00641604125
Fexofenadine,51079052920
HYDROmo,00409131230
naloxone,69547035302
Dexamethasone,00641036725
keppra,00054022463
Nicotine Patch,00067512614
Diltiaze,00258368890
LevoFLOXacin,00045006601
Octreotide Acetate,64679063302
Promethazine HCl,00008002707
Tenofovir,61958040101
Vitamin B Complex,00536476301
Leucovorin Calcium,00054449625
BuPROPion ,10370010103
Artificial Tear Ointment,00904648838
Polyethylene Glycol 3350,62175044214
Isosor,50268045115
esomeprazole magnesium,00186504228
Silver Sulfadiazine 1% Cream,08880950505
Perphenazine,00781104801
Ropinirole,43547027410
Prozac,00777512058
LORazepam Oral Solution,00904600861
Amoxicillin-Clavulanate Susp.,66685100101
Levetiracetam XR,50474059966
Gentamicin,00338051141
Flovent HFA 220mcg,00173049900
Mumps Skin Test,49281024010
Labetalol,00904592861
Humira,00074937402
Amicar,49411005208
Morphine Sulfate IR,68094000162
Lidocaine 2% P.f.,00186021503
Bude,00093681673
MetFORMIN (Glucophage),00904632661
Imipramine,53489033001
Dexamethasone Sod Phosphate,63323051610
Heparin,00641040012
Hydrocortisone Val. Cream 0.2%,51672129001
Dolutegravir,49702022813
sevelame,58468002001
Iron Dextran Complex,00023608210
Anidulafungin,00049011528
Fentanyl Citrate,00409909332
propafenone,53489055201
MethylPREDNISolone Sodium Succ,55390020910
Itraconazole,50458029001
OLANZapine,00904637761
INV-Vitamin,11845011831
Provera,55289012130
Methylergonovine Maleate,43386014001
Prograf,00469065773
Dexameth,00641036725
Interferon Alfa-2B,00085435201
OxycoDONE (Concentrated Oral Soln),00904644461
Heparin ,25021040010
amLODIPine,00904636961
Ampicillin,00781214501
Mycophenolate Mofetil Suspension,67877023022
Tenofovir Disoproxil (Viread),61958040101
tamsuLOSIN,00904640161
Gabapentin,60505011300
Dexamethasone Ophthalmic Susp 0.1%,00998061505
Tenofovir Disoproxil (Viread),61958040301
Isordil,00781155613
Buprenorphine-Naloxone Film (2mg-0.5mg),12496120203
Lidocaine,17478071110
Furosemide,00409610204
Aminocaproic Acid ,61748004416
Chloroprocaine 2% MPF,00186099166
Mesalamine,54092018981
Ciprofloxacin HCl,68084006901
Ferric Gluconate,52544014926
D5 1/2NS,00338008504
Lidocaine 2%,00409428201
Ciprofloxacin ,00085177701
asp,63739002401
Prenatal Gummies Vitamins,00904531360
Fentanyl Patch,00406905076
Acetaminophen,00143178701
sodium chloride 0.9 %,00409488812
Diamox Sequels,68084040121
Riboflavin (Vitamin B-2),10432006501
Donepezil,00904647861
Acetaminophen,00904198261
Sacubitril-Valsartan (97mg-103mg),00078069635
Vitamin ,00904582460
Casodex,00093022056
Album,00944049302
omeprazole,51079000720
BuPROPion (Sustained Release),33358036430
verap,00172428000
Pramipexole,00597019061
CeleBREX,68084097601
Risperidone,00904597361
Nafcillin,00338101741
Hyoscyamine SO4 (Time Release),43199001401
Muro-128,24208027715
Norepinephrine Bitartrate,00409337504
MetFORMIN XR (Glucophage XR),00904579461
INV-Aspirin,00904404073
Sucra,63739026110
Colchicine,64764011907
Melphalan,67457019501
Clopidogrel 75 mg,63653117103
Codeine Sulfate,00054815624
CARBOplatin Desensitization,00703424801
ValGANCIclovir Oral Solution,00004003822
Abacavir,00173066101
Warfarin,00056017075
Influenza A (H1N1) Vaccine,66521020002
Hydrocortisone Acetate Suppository,00904016012
Famotidine,50268030315
Viokase-8,58914011110
Verapamil,00591040401
Balsalazide,65649010102
Torsemide,00004026449
neutr,60258000601
Naloxone,76329146905
Sulfa,53746027101
metoLAZOne,51079002320
Sodium Chloride,63323018610
Lansoprazole,00300304611
Propofol Intradermal ,63323026929
Ziprasidone HCl,00049399041
Morphine Sulfate (Syringe),00409176230
Morphine Sulfate (Rectal),00574711212
Rimantadine,00258371101
CeleXA,60505251903
Zemplar,00074165801
cyanoc,87701071218
Venlafaxine XR,68084070901
Nicotine Patch,00536589588
lidocaine 1,00409471332
Abatacept,00003218710
Naproxen,50268059415
Rifampin,17478015142
Sulfameth,53746027101
potassium chloride,00245004101
HYDROmorphone-HP,00409217205
HydrALAzine,49884002901
Enoxaparin ,00075062160
testosterone,00051842530
Victoza,00169406012
CoQ10 300mg,14654084868
Minocycline,65293001410
predniso,60432021208
Heparin Flush ,63323054011
Polysaccharide Iron,10267146501
isosor,68084059201
Umbralisib,0
ClonazePAM,00781556701
Dextromethorphan-Guaifenesin (Sugar Free),37205071226
Primidone,00904555960
Nystati,00121478505
Aminocaproic Acid,66479002182
Methylprednisolone,00009011319
Lidocaine,00409317803
Paroxetine,00904567861
Enoxaparin (Treatment),63323056990
rosuvastatin,00310075590
ibrutinib,57962014009
PACLItaxel (TaxOL),00172375473
Sovaldi,61958150101
Theophylline SR,62332002531
Morphine Sul,00054023755
*NF* Temozolomide,54868534800
Sodium Acetate,00409329906
Albumi,00944049505
CISplatin,00703574811
Triamcinolone Acetonide 0.1% Cream,00472030680
Syringe (Sterile Water),0
sele,39506002260
Mupirocin Ointment 2%,51672131200
Haloper,63323047401
rOPINIRole,43547027010
Nicotrol NS,00009519402
Sodium ,00409660902
Selzentry,49702022318
Calcium Carbonate,00121476605
Digoxin Immune Fab,50633012011
Testosterone Gel 1%,00051845030
Brimonidine Tartrate 0.15% Ophth.,00023917705
Pulmicort,00093681573
Desmopressin Acetate,55566504001
Heparin,63323054011
lidocaine,51672302002
Goserelin Acetate,00310095036
Sinemet,51079075620
Sirolimus,00008104205
Ni,00536407701
Didanosine EC,00555059001
Docusate So,00121054410
Zidovudine,00173010856
Capsaicin 0.025%,00536252525
ValACYclovir,00173093356
Amphetamine Salt Combo,54092038701
MethylPHENIDATE (Ritalin),00406112101
RISperidone,50458060128
Morphine Sulfate ,00054023755
Phenazopyridine,51293080101
Amoxicillin,00029608031
novolog,00169183311
CefazoLIN,60505074905
Donnatal,66213042510
GlycoLax,62175044214
FLUoxetine,31722090301
Diltiazem,17478081725
MedroxyPROGESTERone Acetate,00009074635
Gemcitabine,00002750201
Keppra 500 mg Tab,50474059540
BuPROPion ,00904612961
Adderall,00555078802
Phytonadione,00006004368
Morphi,68094000162
Anusol-HC,64980032430
Dextran 40 10%,00338027003
Epinephrine Topical Soln,61570030031
add,00115132801
Azithromycin,68084027801
sorafenib,00026848858
Nitrofurantoin ,54569018100
Topiramate (Topamax),68382014014
INV apixaban,00003089431
Levemir Flexpen,00169368712
Famotidine,00006353750
MedroxyPROGESTERone Acetate,59762374202
Menomune - A/C/Y/W-135,49281048901
brivaracetam,50474047066
*NF* Rasagiline,68546014256
lamotrigine,00173075600
artificial tears,00023050601
Divalproex (DELayed Release),00245018101
Ranitidine (Liquid),63739048910
